"For all samples, full population testing is appropriate and recommended if it is less work for us and the client and provides better assurance. Guidance was written to sample in case full population is not available or less efficient.

For more information about the Trust Services Criteria required by SOC 2: https://www.aicpa-cima.com/resources/download/2017-trust-services-criteria-with-revised-points-of-focus-2022. (Starting on pg. 14)",,,,,,,
Control ID,Trust ID,Trust Services Criteria (SOC 2 Requirements),Control Activity Specified by the Service Organization,Type 2 Company Responsibilities,Control Status,Company Comments,Auditor Comments
PA-1,"CC 1.2, CC 1.3","CC 1.2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.
CC 1.3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.",The company's board of directors has a documented charter that outlines its oversight responsibilities for internal control.,"• Provide the company's board charter, ensure it outlines the board's internal control oversight responsibilities.

If the company has no board, management can provide a document outlining their internal control oversight responsibilities instead.",No exceptions noted,"Uploaded to ""Board Meetings & Independence"" task","Please share a dated document (such as the Board Charter) that outlines the board’s roles and responsibilities, including its oversight of internal control.

Please confirm if the Board of Directors includes independent directors or is composed only of executive management."
PA-2,CC 1.2,"CC 1.2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.
","The company's board members have sufficient expertise to oversee management's ability to design, implement and operate information security controls. The board engages third-party information security experts and consultants as needed.","• Provide the company's LinkedIn profiles or CVs of board members, ensure they show the board's work history/expertise, (please provide screenshots where applicable, not links as links don't qualify as stable evidence).
• A complete and accurate listing of personnel who are a part of the board of directors committee.
• Approved documentation on what constitutes sufficient board expertise.

If the company has no board, management can show that they have sufficient expertise to design, implement, and operate information security controls or engage third-party experts. In this case the control description will need to be rephrased to reflect your process, please also inform your auditor.",No exceptions noted,"""Employee Descriptions"" task - founders cv","Please share a list of the Board of Directors’ names along with their LinkedIn profile URLs (or professional bios, if LinkedIn is not available)."
PA-3,CC 1.2,"CC 1.2: The board of directors demonstrates independence from management and exercises oversight of the development and performance of internal control.
",The company's board of directors meets at least annually and maintains formal meeting minutes. The board includes directors that are independent of the company.,"• Provide the company's most recent board meeting agenda and meeting minutes, the meeting should include topics such as security.
• Include screenshots of LinkedIn profiles, CVs, or similar to show that the board includes independent members.

If the company has no board, meeting minutes for a management meeting can be shown.",No exceptions noted,No board at this time,"Please share a dated board meeting minute held between July 15, 2024, and July 15, 2025, that shows independent board directors were in attendance."
PA-4,"CC 1.3, CC 2.2","CC 1.3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.
CC 2.2: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.",The company management has established defined roles and responsibilities to oversee the design and implementation of information security controls.,"• Provide the company's approved Information Security Roles and Responsibilities Policy, ensure that the policy defines the roles and responsibilities of personnel who oversee the design and implementation of information security controls. ",No exceptions noted,,
PA-5,CC 1.3,"CC 1.3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.
",The company maintains an organizational chart that describes the organizational structure and reporting lines.,• Provide the company's up-to-date organization chart.,No exceptions noted,"Updated in ""Employee Descriptions"" task",Please share a dated organizational chart.
PA-6,"CC 1.3, CC 1.4, CC 1.5, CC 2.2, CC 5.3","CC 1.3: Management establishes, with board oversight, structures, reporting lines, and appropriate authorities and responsibilities in the pursuit of objectives.
CC 1.4: The entity demonstrates a commitment to attract, develop, and retain competent individuals in alignment with objectives.
CC 1.5: The entity holds individuals accountable for their internal control responsibilities in the pursuit of objectives.
CC 2.2: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.
CC 5.3: The entity deploys control activities through policies that establish what is expected and in procedures that put policies into action.","Roles and responsibilities for the design, development, implementation, operation, maintenance, and monitoring of information security controls are formally assigned in job descriptions and/or the Roles and Responsibilities policy.","• Provide the company's approved Information Security Roles and Responsibilities Policy, ensure the policy clearly defines responsibilities for the design, development, implementation, operation, maintenance, and monitoring of information security controls. 

Job descriptions can be provided if roles and responsibilities are not covered in the Information Security Roles and Responsibilities Policy for key security roles.
",No exceptions noted,,
PA-7,CC 2.2,"CC 2.2: The entity internally communicates information, including objectives and responsibilities for internal control, necessary to support the functioning of internal control.
","The company has established a formalized whistleblower policy, and an anonymous communication channel is in place for users to report potential issues or fraud concerns.","• Provide the company's Information Security Policy (AUP), ensure that it includes a formalized whistleblower policy.
• Provide screenshots of the anonymous communication channel in place.",No exceptions noted,"Provided in new task ""Whistleblower Form""",Please provide a timestamped snapshot of the anonymous communication channel.
